name,wealth,age,source,country,year
Juan Carlos Escotet,3.7,57,banking,Venezuela,2017
Ken Fisher,3.7,66,money management,United States,2017
Joao Roberto Marinho,3.7,63,media,Brazil,2017
Igor Olenicoff,3.7,74,real estate,United States,2017
Ajay Piramal,3.7,61,pharmaceuticals,India,2017
Wolfgang Reimann,3.7,64,consumer goods,Germany,2017
Matthias Reimann-Andersen,3.7,51,consumer goods,Germany,2017
Stefan Reimann-Andersen,3.7,53,consumer goods,Germany,2017
Renate Reimann-Haas,3.7,65,consumer goods,Germany,2017
Hussain Sajwani,3.7,64,real estate,United Arab Emirates,2017
Vivek Chaand Sehgal,3.7,60,auto parts,Australia,2017
"Clemmie Spangler, Jr.",3.7,84,investments,United States,2017
Jerry Speyer,3.7,76,real estate,United States,2017
Steven Spielberg,3.7,70,Movies,United States,2017
Lucio Tan,3.7,82,diversified,Philippines,2017
Yitzhak Tshuva,3.7,68,real estate,Israel,2017
Steven Udvar-Hazy,3.7,71,aircraft leasing,United States,2017
Murat Ulker,3.7,58,food manufacturing,Turkey,2017
Roger Wang,3.7,68,retail,United States,2017
Juergen Blickle,3.6,70,auto parts,Germany,2017
Vivien Chen,3.6,58,real estate,Hong Kong,2017
Denise Coates,3.6,49,online gambling,United Kingdom,2017
Dan Friedkin,3.6,52,Toyota dealerships,United States,2017
Phillip Frost,3.6,80,pharmaceuticals,United States,2017
Jimmy Haslam,3.6,63,"gas stations, retail",United States,2017
Huang Rulun,3.6,65,real estate,China,2017
Masatoshi Ito,3.6,92,retail,Japan,2017
Dmitry Kamenshchik,3.6,48,airport,Russia,2017
Dominika & Sebastian Kulczyk,3.6,n/a,diversified,Poland,2017
Masahiro Miki,3.6,61,shoes,Japan,2017
Michael Milken,3.6,70,investments,United States,2017
Shigenobu Nagamori,3.6,72,motors,Japan,2017
Gary Rollins,3.6,72,pest control,United States,2017
Randall Rollins,3.6,85,pest control,United States,2017
Ricardo Salinas Pliego,3.6,61,"retail, media",Mexico,2017
Henry Samueli,3.6,62,semiconductors,United States,2017
"Bernard Saul, II.",3.6,84,"banking, real estate",United States,2017
Jeff Sutton,3.6,57,real estate,United States,2017
Frank Wang,3.6,36,drones,China,2017
Yu Huijiao,3.6,50,package delivery,China,2017
Zhou Jianping,3.6,56,fashion retail,China,2017
Bajaj brothers,3.5,n/a,diversified,India,2017
Rahul Bajaj,3.5,78,motorcycles,India,2017
Dagmar Dolby,3.5,75,Dolby Laboratories,United States,2017
Jaime Gilinski Bacal,3.5,59,banking,Colombia,2017
Antti Herlin,3.5,60,"elevators, escalators",Finland,2017
Daniela Herz,3.5,63,coffee,Germany,2017
Guenter Herz,3.5,76,coffee,Germany,2017
Peter Kellogg,3.5,74,investments,United States,2017
Lars Larsen,3.5,68,retail,Denmark,2017
Robert McNair,3.5,80,"energy, sports",United States,2017
Yuri Milner,3.5,55,"Facebook, investments",Russia,2017
Pang Kang,3.5,61,soy sauce maker,China,2017
Ravi Pillai,3.5,63,construction,India,2017
Alexandra Schoerghuber,3.5,58,real estate,Germany,2017
Donald Sterling,3.5,82,real estate,United States,2017
Harry Stine,3.5,75,agriculture,United States,2017
Donald Trump,3.5,70,"television, real estate",United States,2017
George Ty,3.5,84,banking,Philippines,2017
Nusli Wadia,3.5,73,consumer products,India,2017
Vladimir Yevtushenkov,3.5,68,telecom,Russia,2017
Andrej Babis,3.4,62,agriculture,Czech Republic,2017
Che Jianxing,3.4,50,furniture retailing,China,2017
Mark Cuban,3.4,58,online media,United States,2017
David Filo,3.4,50,Yahoo,United States,2017
Jeff Greene,3.4,62,"real estate, investments",United States,2017
Han Chang-Woo,3.4,86,pachinko parlors,Japan,2017
Sumet Jiaravanon,3.4,82,diversified,Thailand,2017
Samvel Karapetyan,3.4,51,real estate,Russia,2017
Randal Kirk,3.4,63,pharmaceuticals,United States,2017
Li Shuirong,3.4,60,petrochemicals,China,2017
George Lindemann,3.4,80,investments,United States,2017
Anthony Pritzker,3.4,56,"hotels, investments",United States,2017
Jay Robert (J.B.) Pritzker,3.4,52,"hotels, investments",United States,2017
"Enrique Razon, Jr.",3.4,57,ports,Philippines,2017
Sun Guangxin,3.4,54,diversified,China,2017
Tony Tan Caktiong,3.4,64,fast food,Philippines,2017
Yu Yong,3.4,56,mining,China,2017
Arthur Blank,3.3,74,Home Depot,United States,2017
Rainer Blickle,3.3,69,auto parts,Germany,2017
Alain Bouchard,3.3,68,retail,Canada,2017
Bernard Broermann,3.3,73,hospitals,Germany,2017
Alejandro Bulgheroni,3.3,n/a,oil & gas,Argentina,2017
John Catsimatidis,3.3,68,"oil, real estate",United States,2017
Jaran Chiaravanont,3.3,86,diversified,Thailand,2017
Abilio dos Santos Diniz,3.3,80,retail,Brazil,2017
Gustaf Douglas,3.3,79,investments,Sweden,2017
Walter Faria,3.3,61,beer,Brazil,2017
Miguel Fluxa Rossello,3.3,78,hotels,Spain,2017
Tom Gores,3.3,52,private equity,United States,2017
Montri Jiaravanont,3.3,85,diversified,Thailand,2017
Johan Johannson,3.3,50,grocery stores,Norway,2017
Edwin Leong,3.3,65,real estate,Hong Kong,2017
Lin Xiucheng,3.3,61,electronics,China,2017
Qiu Guanghe,3.3,65,fashion retail,China,2017
"David Rockefeller, Sr.",3.3,101,"real estate, investments",United States,2017
Shaul Shani,3.3,62,telecom,Israel,2017
Shi Yuzhu,3.3,54,"online games, investments",China,2017
Alexander Svetakov,3.3,49,"banking, real estate",Russia,2017
Wang Yusuo,3.3,53,natural gas distribution,China,2017
Anil Agarwal,3.2,63,"mining, metals",India,2017
Patrizio Bertelli,3.2,71,luxury goods,Italy,2017
Kapil & Rahul Bhatia,3.2,n/a,airlines,India,2017
Neil Bluhm,3.2,79,real estate,United States,2017
Chey Tae-Won,3.2,56,"IT, telecom",South Korea,2017
Jack & Laura Dangermond,3.2,71,mapping software,United States,2017
Kuldip Singh & Gurbachan Singh Dhingra,3.2,n/a,paints,India,2017
Bennett Dorrance,3.2,71,Campbell Soup,United States,2017
Lindsay Fox,3.2,79,"logistics, real estate",Australia,2017
"Amos Hostetter, Jr.",3.2,80,cable television,United States,2017
Jiang Bin,3.2,50,acoustic components,China,2017
Ronald Lauder,3.2,73,Estee Lauder,United States,2017
Sudhir & Samir Mehta,3.2,n/a,diversified,India,2017
Jorge Moll Filho,3.2,72,hospitals,Brazil,2017
Fernando Roberto Moreira Salles,3.2,70,"banking, minerals",Brazil,2017
Joao Moreira Salles,3.2,55,"banking, minerals",Brazil,2017
Pedro Moreira Salles,3.2,57,"banking, minerals",Brazil,2017
Walther Moreira Salles Junior,3.2,60,"banking, minerals",Brazil,2017
Michael Moritz,3.2,62,venture capital,United States,2017
Nie Tengyun,3.2,41,logistics,China,2017
Daniel Och,3.2,56,hedge funds,United States,2017
Miuccia Prada,3.2,67,luxury goods,Italy,2017
Thomas Pritzker,3.2,66,"hotels, investments",United States,2017
Richard Schulze,3.2,76,Best Buy,United States,2017
Lottie Tham,3.2,67,H&M,Sweden,2017
Ye Chenghai,3.2,73,pharmaceuticals,Hong Kong,2017
Zhang Xin,3.2,51,real estate,China,2017
Riley Bechtel,3.1,64,"engineering, construction",United States,2017
"Stephen Bechtel, Jr.",3.1,91,"engineering, construction",United States,2017
Rossana Camargo de Arruda Botelho,3.1,67,construction,Brazil,2017
Andrew & Peggy Cherng,3.1,n/a,restaurants,United States,2017
David Consunji,3.1,95,construction,Philippines,2017
John Paul DeJoria,3.1,72,"hair products, tequila",United States,2017
Isabel dos Santos,3.1,43,investments,Angola,2017
Andreas Halvorsen,3.1,55,hedge funds,Norway,2017
Reid Hoffman,3.1,49,LinkedIn,United States,2017
Viatcheslav Kantor,3.1,63,"fertilizer, real estate",Russia,2017
Marc Ladreit de Lacharriere,3.1,76,finance,France,2017
Liu Zhongtian,3.1,53,aluminum products,China,2017
Yusaku Maezawa,3.1,41,online retail,Japan,2017
Sergio Mantegazza,3.1,89,travel,Switzerland,2017
Ronald McAulay,3.1,81,energy,Hong Kong,2017
Pawan Munjal,3.1,63,motorcycles,India,2017
Renata de Camargo Nascimento,3.1,66,construction,Brazil,2017
God Nisanov,3.1,44,real estate,Russia,2017
Idan Ofer,3.1,61,"drilling, shipping",Israel,2017
Regina de Camargo Pires Oliveira Dias,3.1,63,construction,Brazil,2017
Julio Ponce Lerou,3.1,71,fertilizer,Chile,2017
Issad Rebrab,3.1,73,food,Algeria,2017
Teddy Sagi,3.1,45,gambling software,Israel,2017
Lynn Schusterman,3.1,78,"oil & gas, investments",United States,2017
Andreas Struengmann,3.1,67,pharmaceuticals,Germany,2017
Thomas Struengmann,3.1,67,pharmaceuticals,Germany,2017
Daniel Tsai,3.1,60,finance,Taiwan,2017
Richard Tsai,3.1,59,finance,Taiwan,2017
Simon Xie,3.1,47,online payment service,China,2017
Yang Kai,3.1,60,dairy products,China,2017
John Arnold,3,43,hedge funds,United States,2017
Clifford Asness,3,50,hedge funds,United States,2017
Edward Bass,3,71,"oil, investments",United States,2017
Leon G. Cooperman,3,73,hedge funds,United States,2017
Andrew Currie,3,61,chemicals,United Kingdom,2017
Antonio Del Valle Ruiz,3,78,chemicals,Mexico,2017
Allan Goldman,3,74,real estate,United States,2017
Jane Goldman,3,61,real estate,United States,2017
Amy Goldman Fowler,3,62,real estate,United States,2017
Tom Golisano,3,75,payroll services,United States,2017
Zarakh Iliev,3,50,real estate,Russia,2017
Diane Kemper,3,71,real estate,United States,2017
Kenneth Langone,3,81,investments,United States,2017
Samuel Tak Lee,3,77,real estate,Hong Kong,2017
James Leprino,3,79,cheese,United States,2017
Erwin Franz Mueller,3,84,drug stores,Germany,2017
"Henry Nicholas, III.",3,57,semiconductors,United States,2017
Akio Nitori,3,73,home furnishings,Japan,2017
Husnu Ozyegin,3,72,"finance, diversified",Turkey,2017
James Packer,3,49,casinos,Australia,2017
Robert Pera,3,39,wireless networking gear,United States,2017
Alexander Ponomarenko,3,52,ports,Russia,2017
John Reece,3,60,chemicals,United Kingdom,2017
Renzo Rosso,3,61,fashion,Italy,2017
Haim Saban,3,72,"TV network, investments",United States,2017
Howard Schultz,3,63,Starbucks,United States,2017
Bernard (Barry) Sherman,3,75,pharmaceuticals,Canada,2017
B.R. Shetty,3,75,healthcare,India,2017
Alexander Skorobogatko,3,49,ports,Russia,2017
Romesh T. Wadhwani,3,69,software,United States,2017
Oprah Winfrey,3,63,TV shows,United States,2017
Xiao Wenge,3,50,entertainment,China,2017
Jacky Xu,3,45,apparel,St. Kitts and Nevis,2017
Anthony Bamford,2.9,71,construction equipment,United Kingdom,2017
Lee Bass,2.9,60,"oil, investments",United States,2017
Jean Pierre Cayard,2.9,74,spirits,France,2017
Jason Chang,2.9,72,electronics,Singapore,2017
"Edward DeBartolo, Jr.",2.9,70,shopping centers,United States,2017
Bernard Ecclestone,2.9,86,Formula One,United Kingdom,2017
Tilman Fertitta,2.9,59,"restaurants, casinos",United States,2017
Kieu Hoang,2.9,72,medical products,United States,2017
Min Kao,2.9,68,navigation equipment,United States,2017
Daryl Katz,2.9,55,pharmacies,Canada,2017
Ke Zunhong,2.9,62,pharmaceuticals,China,2017
Kurt Krieger,2.9,68,furniture retailing,Germany,2017
Meisong Lai,2.9,n/a,package delivery,China,2017
Douglas Leone,2.9,59,venture capital,United States,2017
Daniel Loeb,2.9,55,hedge funds,United States,2017
Park Hyeon-Joo,2.9,58,mutual funds,South Korea,2017
Kjell Inge Rokke,2.9,58,"shipping, seafood",Norway,2017
Chanchai Ruayrungruang,2.9,63,real estate,China,2017
Mark Shoen,2.9,66,U-Haul,United States,2017
Juan-Miguel Villar Mir,2.9,85,construction,Spain,2017
Zhang Fan,2.9,51,biometrics,China,2017
Zhang Xiaojuan,2.9,47,logistics,China,2017
Anita Zucker,2.9,65,chemicals,United States,2017
Mortimer Zuckerman,2.9,79,"real estate, media",United States,2017
Sid Bass,2.8,74,"oil, investments",United States,2017
Yvonne Bauer,2.8,39,media,Germany,2017
Jim Breyer,2.8,55,venture capital,United States,2017
Do Won & Jin Sook Chang,2.8,61,fashion retail,United States,2017
Chen Fashu,2.8,56,investments,China,2017
Charles Cohen,2.8,65,real estate,United States,2017
Rafael Del Pino y Calvo-Sotelo,2.8,58,construction,Spain,2017
Barry Diller,2.8,75,online media,United States,2017
Gao Tianguo,2.8,65,"real estate, finance",China,2017
Peter Hargreaves,2.8,70,financial services,United Kingdom,2017
Hortensia Herrero,2.8,66,supermarkets,Spain,2017
Heidi Horten,2.8,76,retail,Austria,2017
Huang Shih Tsai,2.8,65,real estate,Hong Kong,2017
B. Wayne Hughes,2.8,83,self storage,United States,2017
Bernardo Matte,2.8,61,paper,Chile,2017
Eliodoro Matte,2.8,71,paper,Chile,2017
Patricia Matte,2.8,73,paper,Chile,2017
Hans Melchers,2.8,78,"chemicals, investments",Netherlands,2017
John Middleton,2.8,62,tobacco,United States,2017
A. Jerrold Perenchio,2.8,86,"television, Univision",United States,2017
Jorge Perez,2.8,67,real estate,United States,2017
Prasert Prasarttong-Osoth,2.8,83,hospitals,Thailand,2017
Gil Shwed,2.8,49,software,Israel,2017
Herbert Simon,2.8,82,real estate,United States,2017
Pat Stryker,2.8,60,medical equipment,United States,2017
Tahir,2.8,64,diversified,Indonesia,2017
Arne Wilhelmsen,2.8,86,cruise ships,Norway,2017
"William Wrigley, Jr.",2.8,53,chewing gum,United States,2017
Anil Ambani,2.7,57,diversified,India,2017
Carlo Benetton,2.7,73,"fashion retail, investments",Italy,2017
Gilberto Benetton,2.7,75,"fashion retail, investments",Italy,2017
Giuliana Benetton,2.7,79,"fashion retail, investments",Italy,2017
Luciano Benetton,2.7,81,"fashion retail, investments",Italy,2017
John Brown,2.7,82,medical equipment,United States,2017
Cai Kui,2.7,54,real estate,China,2017
Cao Longxiang,2.7,59,pharmaceuticals,China,2017
Ashwin Dani,2.7,74,paints,India,2017
Ray Davis,2.7,75,pipelines,United States,2017
"John Dorrance, III.",2.7,73,Campbell Soup,Ireland,2017
Martin Haefner,2.7,63,"software, investments",Switzerland,2017
Otto Happel,2.7,69,engineering,Germany,2017
Joshua Harris,2.7,52,private equity,United States,2017
Jen-Hsun Huang,2.7,54,semiconductors,United States,2017
Huang Wei,2.7,57,real estate,China,2017
H. Wayne Huizenga,2.7,79,investments,United States,2017
Johnelle Hunt,2.7,85,trucking,United States,2017
Kwek Leng Beng,2.7,76,real estate,Singapore,2017
Friedhelm Loh,2.7,70,manufacturing,Germany,2017
Lu Xiangyang,2.7,54,"automobiles, batteries",China,2017
Mohamed Mansour,2.7,69,diversified,Egypt,2017
Robert Miller,2.7,71,electronics components,Canada,2017
David Murdock,2.7,93,"Dole, real estate",United States,2017
Sebastian Pií±era,2.7,67,investments,Chile,2017
Carlos Rodriguez-Pastor,2.7,57,finance,Peru,2017
Marc Rowan,2.7,54,private equity,United States,2017
Stephan Schmidheiny,2.7,69,investments,Switzerland,2017
Michael & Reiner Schmidt-Ruthenbeck,2.7,n/a,retail,Germany,2017
Yasumitsu Shigeta,2.7,52,mobile phone retailer,Japan,2017
Paul Singer,2.7,72,hedge funds,United States,2017
Alexandre Soares dos Santos,2.7,82,supermarkets,Portugal,2017
Michal Solowow,2.7,54,investments,Poland,2017
Peter Thiel,2.7,49,"Facebook, Palantir",United States,2017
Rita Tong Liu,2.7,68,real estate,Hong Kong,2017
Wang Xicheng,2.7,68,tires,China,2017
Christoph Zeller,2.7,59,dental implants,Liechtenstein,2017
Mohammed Al Issa,2.6,92,investments,Saudi Arabia,2017
Carlos Ardila Lí_lle,2.6,86,"soft drinks, diversified",Colombia,2017
Michael Ashley,2.6,52,sports retailing,United Kingdom,2017
Tom Benson,2.6,89,New Orleans Saints,United States,2017
Otto Philipp Braun,2.6,39,medical technology,Germany,2017
Chung Eui-Sun,2.6,46,logistics,South Korea,2017
Robert Duggan,2.6,72,pharmaceuticals,United States,2017
Martin Ebner,2.6,71,investments,Switzerland,2017
Doris Fisher,2.6,85,Gap,United States,2017
Philippe Foriel-Destezet,2.6,81,employment agency,France,2017
Fiona Geminder,2.6,52,packaging,Australia,2017
Bill Haslam,2.6,58,truck stops,United States,2017
Henry Hillman,2.6,98,investments,United States,2017
Louis Le Duff,2.6,70,bakeries,France,2017
Lei Jufang,2.6,64,pharmaceuticals,China,2017
Scott Lin,2.6,n/a,optical components,Taiwan,2017
"Stephen Mandel, Jr.",2.6,61,hedge funds,United States,2017
Najib Mikati,2.6,61,telecom,Lebanon,2017
Taha Mikati,2.6,72,telecom,Lebanon,2017
Robert Miller,2.6,83,retail,United Kingdom,2017
Yoshiko Mori,2.6,76,real estate,Japan,2017
Sean Parker,2.6,37,Facebook,United States,2017
Karsanbhai Patel,2.6,73,consumer goods,India,2017
Rajan Raheja,2.6,62,diversified,India,2017
P.V. Ramprasad Reddy,2.6,58,pharmaceuticals,India,2017
Dirk Rossmann,2.6,70,drugstores,Germany,2017
Arkady Rotenberg,2.6,65,"construction, pipes, banking",Russia,2017
Svein Stole,2.6,53,investments,Norway,2017
Lawrence Stroll,2.6,57,fashion investments,Canada,2017
Tsai Hong-tu,2.6,64,finance,Taiwan,2017
Hans Peter Wild,2.6,75,flavorings,Switzerland,2017
Zhang Jing,2.6,45,diversified,China,2017
John Arrillaga,2.5,79,real estate,United States,2017
Acharya Balkrishna,2.5,44,consumer goods,India,2017
Carl Bennet,2.5,65,investments,Sweden,2017
George Bishop,2.5,79,oil & gas,United States,2017
David Bonderman,2.5,74,private equity,United States,2017
Eva Maria Bucher-Haefner,2.5,60,Computer Associates,Switzerland,2017
Peter Buck,2.5,86,Subway sandwich shops,United States,2017
"William Conway, Jr.",2.5,67,private equity,United States,2017
Smita Crishna-Godrej,2.5,66,consumer goods,India,2017
Daniel D'Aniello,2.5,70,private equity,United States,2017
Jim Davis,2.5,57,staffing & recruiting,United States,2017
Kenneth Feld,2.5,68,"circus, live entertainment",United States,2017
Fu Liquan,2.5,49,surveillance equipment,China,2017
Adi Godrej,2.5,74,consumer goods,India,2017
Jamshyd Godrej,2.5,68,consumer goods,India,2017
Nadir Godrej,2.5,66,consumer goods,India,2017
Bill Gross,2.5,72,investments,United States,2017
Caroline Hagen Kjos,2.5,33,conglomerate,Norway,2017
Don Hankey,2.5,73,auto loans,United States,2017
John Henry,2.5,67,sports,United States,2017
James Irsay,2.5,57,Indianapolis Colts,United States,2017
Alicia Koplowitz,2.5,62,"construction, investments",Spain,2017
Guenther Lehmann,2.5,n/a,drug stores,Germany,2017
Li Gaiteng,2.5,44,hair dryers,China,2017
Alexander Mamut,2.5,57,investments,Russia,2017
Rishad Naoroji,2.5,65,consumer goods,India,2017
Adam Neumann,2.5,37,WeWork,Israel,2017
Philip Niarchos,2.5,63,art collection,Greece,2017
"Carolus Nolet, Sr.",2.5,76,Ketel One vodka,Netherlands,2017
Bob Parsons,2.5,66,web hosting,United States,2017
Jay Paul,2.5,69,real estate,United States,2017
Richard Peery,2.5,78,real estate,United States,2017
Jean (Gigi) Pritzker,2.5,54,"hotels, investments",United States,2017
Penny Pritzker,2.5,57,"hotels, investments",United States,2017
Chandru Raheja,2.5,76,real estate,India,2017
"Wilbur Ross, Jr.",2.5,79,investments,United States,2017
David Rubenstein,2.5,67,private equity,United States,2017
Phillip Ruffin,2.5,82,"casinos, real estate",United States,2017
Patrick Ryan,2.5,79,insurance,United States,2017
Alvaro Saieh Bendeck,2.5,67,banking,Chile,2017
E. Joe Shoen,2.5,67,U-Haul,United States,2017
Thomas Siebel,2.5,64,business software,United States,2017
Robert Smith,2.5,54,private equity,United States,2017
Zygmunt Solorz-Zak,2.5,60,TV broadcasting,Poland,2017
Warren Stephens,2.5,60,investment banking,United States,2017
Jon Stryker,2.5,58,medical equipment,United States,2017
Andrew Tan,2.5,64,diversified,Philippines,2017
Mark Walter,2.5,56,finance,United States,2017
Wang Xing,2.5,44,e-commerce,China,2017
Ty Warner,2.5,72,"real estate, plush toys",United States,2017
Steve Wynn,2.5,75,"casinos, hotels",United States,2017
Michael Ying,2.5,67,retail,Hong Kong,2017
Zhang Bangxin,2.5,37,after-school tutoring,China,2017
Faisal Bin Qassim Al Thani,2.4,69,"hotels, diversified",Qatar,2017
Semahat Sevim Arsel,2.4,88,diversified,Turkey,2017
Tatiana Casiraghi,2.4,33,beer,Monaco,2017
Hasmukh Chudgar,2.4,83,pharmaceuticals,India,2017
Aloysio de Andrade Faria,2.4,96,banking,Brazil,2017
Judy Faulkner,2.4,73,health IT,United States,2017
Fong Yun Wah,2.4,92,real estate,Hong Kong,2017
Baba Kalyani,2.4,68,engineering,India,2017
Igor Kesaev,2.4,50,"tobacco distribution, retail",Russia,2017
Raj Kumar & Kishin RK,2.4,62,real estate,Singapore,2017
Kuok Khoon Hong,2.4,67,palm oil,Singapore,2017
Manuel Lao Hernandez,2.4,72,gambling,Spain,2017
Li Wa,2.4,51,real estate,Hong Kong,2017
C. Dean Metropoulos,2.4,70,investments,United States,2017
Alexander Nesis,2.4,54,"metals, banking, fertilizers",Russia,2017
Kazuo Okada,2.4,74,casinos,Japan,2017
John Pritzker,2.4,64,"hotels, investments",United States,2017
Qiu Jianping,2.4,55,hand tools,China,2017
"Julio Mario Santo Domingo, III.",2.4,31,beer,United States,2017
Thomas Secunda,2.4,62,Bloomberg LP,United States,2017
Shen Guojun,2.4,54,retail,China,2017
Alexander Spanos,2.4,93,"real estate, San Diego Chargers",United States,2017
Sarik Tara,2.4,86,construction,Turkey,2017
Clemens Toennies,2.4,60,meat processing,Germany,2017
Hanni Toosbuy Kasprzak,2.4,59,shoes,Denmark,2017
Sunil Vaswani,2.4,53,diversified,United Kingdom,2017
Radovan Vitek,2.4,45,real estate,Czech Republic,2017
Pham Nhat Vuong,2.4,48,real estate,Vietnam,2017
Denise York,2.4,66,San Francisco 49ers,United States,2017
Charles Bronfman,2.3,85,liquor,Canada,2017
Nick Caporella,2.3,81,beverages,United States,2017
Chan Tan Ching-fen,2.3,n/a,real estate,Hong Kong,2017
Chu Mang Yee,2.3,57,real estate,China,2017
Scott Cook,2.3,64,software,United States,2017
Radhakishan Damani,2.3,62,"investments, retail",India,2017
Eduardo Eurnekian,2.3,84,"airports, investments",Argentina,2017
Feng Hailiang,2.3,56,"copper, real estate",China,2017
Gerald Ford,2.3,72,banking,United States,2017
Bernard Fraisse,2.3,60,pharmaceuticals,France,2017
Mitchell Goldhar,2.3,55,real estate,Canada,2017
Noam Gottesman,2.3,55,hedge funds,United States,2017
Stein Erik Hagen,2.3,60,consumer goods,Norway,2017
Stanley Hubbard,2.3,83,DirecTV,United States,2017
Erman Ilicak,2.3,49,construction,Turkey,2017
Jiang Rensheng,2.3,63,vaccine production,China,2017
Saleh Kamel,2.3,75,"banking, healthcare",Saudi Arabia,2017
Lee Joong-Keun,2.3,76,"construction, real estate",South Korea,2017
Bernard Lewis,2.3,91,fashion retailer,United Kingdom,2017
Liang Xinjun,2.3,49,conglomerate,China,2017
Rudolf Maag,2.3,71,medical devices,Switzerland,2017
Farhad Moshiri,2.3,61,diversified,United Kingdom,2017
Vadim Moshkovich,2.3,49,"agriculture, land",Russia,2017
Stefan Olsson,2.3,68,diversified,Sweden,2017
Nicolas Puech,2.3,74,Hermes,France,2017
Qi Shi,2.3,47,financial information,China,2017
Krit Ratanarak,2.3,70,"media, real estate",Thailand,2017
Jeff Rothschild,2.3,62,Facebook,United States,2017
Michael Rubin,2.3,44,online retail,United States,2017
Mikail Shishkhanov,2.3,44,"oil, banking, real estate",Russia,2017
Sit Kwong Lam,2.3,49,"oil, transportation",Hong Kong,2017
Song Zuowen,2.3,70,"aluminum, diversified",China,2017
Tang Yiu,2.3,82,fashion retail,Hong Kong,2017
Tsai Cheng-da,2.3,n/a,finance,Taiwan,2017
Ted Turner,2.3,78,cable television,United States,2017
Bulat Utemuratov,2.3,59,"mining, banking, hotels",Kazakhstan,2017
Meg Whitman,2.3,60,eBay,United States,2017
Chip Wilson,2.3,60,Lululemon,Canada,2017
Xu Jingren,2.3,72,pharmaceuticals,China,2017
Jerry Yang,2.3,48,Yahoo,United States,2017
Yuan Yafei,2.3,53,"retail, investments",China,2017
Zhou Yaoting,2.3,74,"apparel, real estate",China,2017
Zhu Gongshan,2.3,59,solar panel materials,China,2017
Isak Andic,2.2,63,fashion retail,Spain,2017
George Argyros,2.2,80,"real estate, investments",United States,2017
Ron Baron,2.2,73,money management,United States,2017
Nikolai Buinov,2.2,49,"oil, gas",Russia,2017
John Caudwell,2.2,64,mobile phones,United Kingdom,2017
Jose Luis Cutrale,2.2,70,orange juice,Brazil,2017
Ennio Doris,2.2,76,financial services,Italy,2017
Du Jiangtao,2.2,47,chemicals,China,2017
Fang Wei,2.2,43,steel,China,2017
John Fisher,2.2,55,Gap,United States,2017
Joseph Grendys,2.2,55,poultry,United States,2017
Bahaa Hariri,2.2,50,"real estate, investments, logistics",Lebanon,2017
Hui Lin Chit,2.2,63,hygiene products,China,2017
Rakesh Jhunjhunwala,2.2,56,investments,India,2017
Brad Kelley,2.2,60,tobacco,United States,2017
Mustafa Rahmi Koc,2.2,86,diversified,Turkey,2017
Karel Komarek,2.2,48,oil & gas,Czech Republic,2017
Thomas Lee,2.2,72,private equity,United States,2017
Jeffrey Lorberbaum,2.2,62,flooring,United States,2017
Joe Mansueto,2.2,60,investment research,United States,2017
Marius Nacht,2.2,51,software,Israel,2017
Hans Georg Naeder,2.2,55,prosthetics,Germany,2017
Daniel Pritzker,2.2,57,"hotels, investments",United States,2017
Stewart Rahr,2.2,71,drug distribution,United States,2017
Ren Zhengfei,2.2,73,telecom equipment,China,2017
Helena Revoredo,2.2,70,private security,Spain,2017
Seo Jung-Jin,2.2,59,biotech,South Korea,2017
Dan Snyder,2.2,52,Washington Redskins,United States,2017
Charlotte Soderstrom,2.2,40,H&M,Sweden,2017
Ralph Sonnenberg,2.2,82,blinds,Netherlands,2017
Sun Xishuang,2.2,63,real estate,China,2017
Sze Man Bok,2.2,67,hygiene products,China,2017
Wu Jianshu,2.2,53,auto parts,Hong Kong,2017
Xue Xiangdong,2.2,58,software,China,2017
S. Daniel Abraham,2.1,92,Slim-Fast,United States,2017
Saif Al Ghurair,2.1,93,diversified,United Arab Emirates,2017
Emilio Azcarraga Jean,2.1,49,TV broadcasting,Mexico,2017
Miriam Baumann-Blocher,2.1,42,chemicals,Switzerland,2017
Koos Bekker,2.1,64,"media, investments",South Africa,2017
Mike Cannon-Brookes,2.1,37,software,Australia,2017
Demetrio Carceller Coll,2.1,n/a,"gas, beer",Portugal,2017
Chen Bang,2.1,51,hospitals,China,2017
Chen Dongsheng,2.1,59,insurance,China,2017
Tony Chen,2.1,48,eletronics,Taiwan,2017
Todd Christopher,2.1,54,hair care products,United States,2017
James Coulter,2.1,57,private equity,United States,2017
Ding Shijia,2.1,53,sportswear,China,2017
Ding Shizhong,2.1,46,sports apparel,China,2017
Hedda im Brahm Droege,2.1,62,consulting,Germany,2017
Scott Farquhar,2.1,37,software,Australia,2017
Rakesh Gangwal,2.1,63,airline,United States,2017
Gordon Getty,2.1,83,Getty Oil,United States,2017
Sam Goi,2.1,68,frozen foods,Singapore,2017
Alec Gores,2.1,64,private equity,United States,2017
Gudrun Heine,2.1,62,medical devices,Germany,2017
Michael Hintze,2.1,63,investment,Australia,2017
Christopher Hohn,2.1,50,Hedge fund,United Kingdom,2017
Jiang Weiping,2.1,62,chemicals,China,2017
Vladimir Kim,2.1,56,mining,Kazakhstan,2017
Timur Kulibaev,2.1,50,banking,Kazakhstan,2017
Dinara Kulibaeva,2.1,49,banking,Kazakhstan,2017
Heikki Kyostila,2.1,71,dental products,Finland,2017
Edward Lampert,2.1,54,Sears,United States,2017
Lau Cho Kun,2.1,81,"palm oil,property",Malaysia,2017
